time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
1.05,26.7697,-0.735855,5.60184,2,-0.0884077,-0.081665,0.992731
1.06,26.9957,-0.756756,5.62378,2,-0.0880009,-0.0767987,0.993155
1.07,27.2211,-0.777684,5.64561,2,-0.0875937,-0.0719763,0.993553
1.08,27.446,-0.798634,5.66734,2,-0.0871862,-0.0671973,0.993923
1.09,27.6704,-0.819603,5.68896,2,-0.0867785,-0.0624617,0.994268
1.1,27.8942,-0.840586,5.71049,2,-0.0863708,-0.0577691,0.994587
1.11,28.1174,-0.861578,5.73191,2,-0.0859633,-0.0531192,0.994881
1.12,28.3401,-0.882575,5.75324,2,-0.0855561,-0.048512,0.995152
1.13,28.5622,-0.903573,5.77447,2,-0.0851495,-0.043947,0.995399
1.14,28.7838,-0.924569,5.7956,2,-0.0847435,-0.0394241,0.995623
1.15,29.0048,-0.945557,5.81663,2,-0.0843383,-0.034943,0.995824
1.16,29.2253,-0.966534,5.83757,2,-0.083934,-0.0305035,0.996004
1.17,29.4453,-0.987496,5.85842,2,-0.0835308,-0.0261054,0.996163
1.18,29.6647,-1.00844,5.87917,2,-0.0831288,-0.0217483,0.996301
1.19,29.8836,-1.02936,5.89982,2,-0.0827282,-0.017432,0.99642
1.2,30.102,-1.05025,5.92039,2,-0.082329,-0.0131563,0.996518
1.21,30.3198,-1.07111,5.94086,2,-0.0819314,-0.00892094,0.996598
1.22,30.5372,-1.09194,5.96124,2,-0.0815355,-0.00472564,0.996659
1.23,30.754,-1.11273,5.98153,2,-0.0811414,-0.000570163,0.996702
1.24,30.9702,-1.13347,6.00173,2,-0.0807493,0.00354575,0.996728
1.25,31.186,-1.15418,6.02184,2,-0.0803591,0.00762233,0.996737
1.26,31.4012,-1.17483,6.04186,2,-0.0799711,0.0116599,0.996729
1.27,31.6159,-1.19542,6.06179,2,-0.0795853,0.0156585,0.996705
1.28,31.8301,-1.21597,6.08164,2,-0.0792018,0.0196187,0.996666
1.29,32.0438,-1.23645,6.10139,2,-0.0788208,0.0235404,0.996611
1.3,32.257,-1.25687,6.12105,2,-0.0784422,0.0274241,0.996541
1.31,32.4697,-1.27722,6.14063,2,-0.0780663,0.03127,0.996458
1.32,32.6819,-1.2975,6.16012,2,-0.077693,0.0350783,0.99636
1.33,32.8936,-1.3177,6.17952,2,-0.0773224,0.0388492,0.996249
1.34,33.1048,-1.33783,6.19884,2,-0.0769547,0.042583,0.996125
1.35,33.3155,-1.35788,6.21806,2,-0.0765899,0.0462799,0.995988
1.36,33.5257,-1.37785,6.2372,2,-0.076228,0.0499403,0.995839
1.37,33.7354,-1.39773,6.25625,2,-0.0758692,0.0535642,0.995678
1.38,33.9446,-1.41752,6.27522,2,-0.0755135,0.057152,0.995506
1.39,34.1534,-1.43722,6.2941,2,-0.0751609,0.0607039,0.995322
1.4,34.3616,-1.45682,6.31289,2,-0.0748116,0.0642202,0.995128
1.41,34.5694,-1.47632,6.33159,2,-0.0744655,0.067701,0.994923
1.42,34.7767,-1.49572,6.3502,2,-0.0741228,0.0711467,0.994708
1.43,34.9835,-1.51502,6.36873,2,-0.0737835,0.0745574,0.994483
1.44,35.1898,-1.5342,6.38717,2,-0.0734476,0.0779333,0.994249
