time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
0.98,15.1762,-3.68522,2.12989,4,-0.179054,-0.524824,0.832165
0.99,15.3181,-3.74553,2.12139,4,-0.178496,-0.523621,0.833043
1,15.4599,-3.80621,2.11256,4,-0.177939,-0.522432,0.833908
1.01,15.6013,-3.86727,2.10343,4,-0.177383,-0.521258,0.834761
1.02,15.7426,-3.92871,2.09398,4,-0.176828,-0.520097,0.835602
1.03,15.8836,-3.99052,2.08423,4,-0.176274,-0.51895,0.836432
1.04,16.0244,-4.05271,2.07416,4,-0.17572,-0.517817,0.83725
1.05,16.165,-4.11528,2.0638,4,-0.175168,-0.516697,0.838057
1.06,16.3053,-4.17822,2.05312,4,-0.174617,-0.515591,0.838853
1.07,16.4454,-4.24153,2.04215,4,-0.174067,-0.514497,0.839639
1.08,16.5853,-4.30522,2.03088,4,-0.173518,-0.513417,0.840414
1.09,16.725,-4.36928,2.01931,4,-0.17297,-0.512348,0.841178
1.1,16.8644,-4.43372,2.00744,4,-0.172423,-0.511292,0.841933
1.11,17.0036,-4.49852,1.99527,4,-0.171877,-0.510249,0.842677
1.12,17.1426,-4.5637,1.98282,4,-0.171332,-0.509217,0.843412
1.13,17.2814,-4.62925,1.97007,4,-0.170789,-0.508196,0.844137
1.14,17.4199,-4.69517,1.95703,4,-0.170246,-0.507187,0.844853
1.15,17.5582,-4.76146,1.9437,4,-0.169705,-0.50619,0.84556
1.16,17.6963,-4.82812,1.93009,4,-0.169165,-0.505203,0.846258
1.17,17.8342,-4.89515,1.91619,4,-0.168626,-0.504227,0.846948
1.18,17.9718,-4.96255,1.90201,4,-0.168088,-0.503261,0.847629
1.19,18.1092,-5.03032,1.88755,4,-0.167551,-0.502306,0.848301
1.2,18.2464,-5.09845,1.8728,4,-0.167015,-0.501361,0.848966
1.21,18.3834,-5.16695,1.85778,4,-0.166479,-0.500426,0.849623
1.22,18.5202,-5.23582,1.84248,4,-0.165945,-0.4995,0.850272
1.23,18.6567,-5.30505,1.8269,4,-0.165412,-0.498583,0.850913
1.24,18.793,-5.37465,1.81105,4,-0.16488,-0.497676,0.851548
1.25,18.9291,-5.44462,1.79493,4,-0.164348,-0.496778,0.852175
1.26,19.065,-5.51494,1.77854,4,-0.163817,-0.495888,0.852795
1.27,19.2006,-5.58564,1.76187,4,-0.163287,-0.495007,0.853408
1.28,19.3361,-5.65669,1.74494,4,-0.162757,-0.494134,0.854015
1.29,19.4713,-5.72812,1.72775,4,-0.162229,-0.493269,0.854616
1.3,19.6063,-5.7999,1.71028,4,-0.1617,-0.492411,0.85521
1.31,19.7411,-5.87204,1.69256,4,-0.161172,-0.491562,0.855798
1.32,19.8757,-5.94455,1.67457,4,-0.160645,-0.49072,0.85638
