time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
1.49,36.0914,-1.67447,7.11633,2,-0.0893727,0.0921264,0.991728
1.5,36.2932,-1.6932,7.1376,2,-0.0890568,0.0952167,0.991465
1.51,36.4946,-1.71181,7.15876,2,-0.0887446,0.0982733,0.991195
1.52,36.6955,-1.7303,7.17983,2,-0.0884361,0.101296,0.990918
1.53,36.8959,-1.74865,7.2008,2,-0.0881314,0.104286,0.990635
1.54,37.0958,-1.76687,7.22167,2,-0.0878304,0.107243,0.990346
1.55,37.2953,-1.78496,7.24244,2,-0.0875333,0.110166,0.990051
1.56,37.4943,-1.80291,7.26311,2,-0.0872399,0.113057,0.989751
1.57,37.6929,-1.82072,7.28368,2,-0.0869504,0.115916,0.989446
1.58,37.891,-1.83839,7.30415,2,-0.0866648,0.118742,0.989136
1.59,38.0886,-1.85591,7.32452,2,-0.0863831,0.121537,0.988821
1.6,38.2858,-1.87329,7.34479,2,-0.0861052,0.124299,0.988502
1.61,38.4825,-1.89052,7.36495,2,-0.0858313,0.12703,0.988178
1.62,38.6788,-1.9076,7.38502,2,-0.0855613,0.12973,0.987851
1.63,38.8746,-1.92453,7.40498,2,-0.0852953,0.132398,0.98752
1.64,39.07,-1.9413,7.42484,2,-0.0850332,0.135035,0.987185
1.65,39.265,-1.95792,7.4446,2,-0.0847751,0.137642,0.986847
1.66,39.4595,-1.97437,7.46425,2,-0.084521,0.140218,0.986506
1.67,39.6535,-1.99067,7.48381,2,-0.0842709,0.142764,0.986163
1.68,39.8472,-2.0068,7.50325,2,-0.0840247,0.14528,0.985816
1.69,40.0403,-2.02277,7.5226,2,-0.0837825,0.147766,0.985467
1.7,40.2331,-2.03858,7.54184,2,-0.0835443,0.150222,0.985116
1.71,40.4254,-2.05421,7.56097,2,-0.0833101,0.152648,0.984763
1.72,40.6173,-2.06968,7.58,2,-0.0830799,0.155046,0.984408
1.73,40.8087,-2.08497,7.59893,2,-0.0828537,0.157414,0.984051
1.74,40.9997,-2.10009,7.61774,2,-0.0826314,0.159753,0.983693
1.75,41.1903,-2.11503,7.63646,2,-0.0824131,0.162063,0.983333
1.76,41.3805,-2.1298,7.65506,2,-0.0821988,0.164345,0.982972
1.77,41.5702,-2.14438,7.67356,2,-0.0819884,0.166598,0.98261
1.78,41.7596,-2.15879,7.69195,2,-0.081782,0.168824,0.982248
1.79,41.9485,-2.17302,7.71023,2,-0.0815795,0.171021,0.981884
1.8,42.1369,-2.18706,7.72841,2,-0.0813809,0.17319,0.98152
1.81,42.325,-2.20091,7.74648,2,-0.0811862,0.175332,0.981156
1.82,42.5126,-2.21458,7.76443,2,-0.0809955,0.177446,0.980792
1.83,42.6999,-2.22806,7.78228,4,-0.0808086,0.179533,0.980427
1.84,42.8867,-2.24136,7.80002,4,-0.0806255,0.181593,0.980063
1.85,43.0731,-2.25446,7.81765,4,-0.0804463,0.183626,0.979699
1.86,43.2591,-2.26736,7.83516,4,-0.0802709,0.185632,0.979335
1.87,43.4447,-2.28008,7.85257,4,-0.0800993,0.187612,0.978972
1.88,43.6299,-2.29259,7.86986,4,-0.0799315,0.189565,0.978609
1.89,43.8147,-2.30492,7.88705,4,-0.0797675,0.191492,0.978247
1.9,43.9991,-2.31704,7.90412,4,-0.0796072,0.193393,0.977886
1.91,44.1831,-2.32896,7.92107,4,-0.0794506,0.195268,0.977527
1.92,44.3666,-2.34069,7.93792,4,-0.0792976,0.197117,0.977168
1.93,44.5498,-2.35221,7.95465,4,-0.0791484,0.198941,0.97681
1.94,44.7326,-2.36353,7.97127,4,-0.0790028,0.200739,0.976454
1.95,44.915,-2.37464,7.98777,4,-0.0788607,0.202512,0.976099
1.96,45.097,-2.38555,8.00416,4,-0.0787223,0.204259,0.975746
1.97,45.2786,-2.39626,8.02043,4,-0.0785874,0.205982,0.975395
1.98,45.4598,-2.40675,8.03659,4,-0.078456,0.20768,0.975045
1.99,45.6407,-2.41704,8.05263,4,-0.078328,0.209354,0.974698
2,45.8211,-2.42712,8.06855,4,-0.0782036,0.211003,0.974352
2.01,46.0012,-2.43698,8.08436,4,-0.0780825,0.212627,0.974009
2.02,46.1808,-2.44664,8.10005,4,-0.0779649,0.214227,0.973667
2.03,46.3601,-2.45608,8.11563,4,-0.0778505,0.215804,0.973328
2.04,46.539,-2.46531,8.13108,4,-0.0777395,0.217356,0.972992
2.05,46.7176,-2.47432,8.14642,4,-0.0776318,0.218885,0.972658
2.06,46.8957,-2.48312,8.16164,4,-0.0775273,0.22039,0.972326
2.07,47.0735,-2.4917,8.17674,4,-0.077426,0.221872,0.971997
2.08,47.2509,-2.50006,8.19172,4,-0.0773279,0.22333,0.971671
2.09,47.4279,-2.50821,8.20658,4,-0.0772329,0.224765,0.971347
2.1,47.6045,-2.51614,8.22133,4,-0.077141,0.226177,0.971027
2.11,47.7808,-2.52384,8.23595,4,-0.0770522,0.227566,0.970709
2.12,47.9567,-2.53133,8.25045,4,-0.0769664,0.228933,0.970395
2.13,48.1322,-2.53859,8.26483,4,-0.0768835,0.230277,0.970083
2.14,48.3074,-2.54564,8.27908,4,-0.0768035,0.231598,0.969775
2.15,48.4822,-2.55246,8.29322,4,-0.0767265,0.232897,0.96947
2.16,48.6566,-2.55905,8.30724,4,-0.0766523,0.234174,0.969168
2.17,48.8307,-2.56542,8.32113,4,-0.0765808,0.235428,0.96887
2.18,49.0044,-2.57157,8.3349,4,-0.0765122,0.236661,0.968575
2.19,49.1777,-2.57749,8.34854,4,-0.0764462,0.237872,0.968284
2.2,49.3507,-2.58318,8.36207,4,-0.0763829,0.239061,0.967996
2.21,49.5233,-2.58865,8.37547,4,-0.0763223,0.240228,0.967711
2.22,49.6956,-2.59389,8.38874,4,-0.0762642,0.241374,0.967431
2.23,49.8675,-2.5989,8.40189,4,-0.0762086,0.242499,0.967154
2.24,50.039,-2.60369,8.41492,4,-0.0761555,0.243603,0.966881
2.25,50.2102,-2.60824,8.42782,4,-0.0761049,0.244685,0.966611
2.26,50.3811,-2.61257,8.4406,4,-0.0760567,0.245746,0.966346
2.27,50.5516,-2.61666,8.45326,4,-0.0760107,0.246787,0.966084
2.28,50.7217,-2.62052,8.46578,4,-0.0759671,0.247807,0.965827
2.29,50.8915,-2.62416,8.47818,4,-0.0759258,0.248806,0.965573
2.3,51.0609,-2.62756,8.49046,4,-0.0758866,0.249784,0.965323
2.31,51.23,-2.63073,8.50261,4,-0.0758496,0.250743,0.965078
2.32,51.3987,-2.63366,8.51463,4,-0.0758146,0.25168,0.964836
2.33,51.5671,-2.63637,8.52653,4,-0.0757817,0.252598,0.964599
2.34,51.7352,-2.63884,8.5383,4,-0.0757509,0.253496,0.964366
2.35,51.9029,-2.64107,8.54994,4,-0.0757219,0.254374,0.964137
2.36,52.0703,-2.64308,8.56146,4,-0.0756949,0.255232,0.963912
2.37,52.2373,-2.64484,8.57285,4,-0.0756697,0.25607,0.963692
2.38,52.404,-2.64638,8.58411,4,-0.0756463,0.256888,0.963476
2.39,52.5703,-2.64768,8.59524,4,-0.0756246,0.257687,0.963264
2.4,52.7364,-2.64874,8.60625,4,-0.0756047,0.258467,0.963057
2.41,52.902,-2.64957,8.61713,4,-0.0755863,0.259227,0.962854
2.42,53.0674,-2.65016,8.62787,4,-0.0755696,0.259968,0.962656
2.43,53.2324,-2.65052,8.6385,4,-0.0755544,0.26069,0.962462
2.44,53.3971,-2.65064,8.64899,4,-0.0755406,0.261393,0.962272
2.45,53.5614,-2.65053,8.65935,4,-0.0755283,0.262077,0.962087
2.46,53.7254,-2.65017,8.66959,4,-0.0755174,0.262742,0.961906
2.47,53.8891,-2.64958,8.67969,4,-0.0755078,0.263389,0.96173
2.48,54.0524,-2.64876,8.68967,4,-0.0754995,0.264017,0.961559
2.49,54.2154,-2.6477,8.69952,4,-0.0754924,0.264626,0.961392
2.5,54.3781,-2.6464,8.70924,4,-0.0754864,0.265217,0.961229
2.51,54.5405,-2.64486,8.71883,4,-0.0754815,0.26579,0.961071
2.52,54.7026,-2.64309,8.72829,4,-0.0754777,0.266344,0.960918
2.53,54.8643,-2.64107,8.73762,4,-0.0754749,0.266881,0.96077
2.54,55.0257,-2.63883,8.74683,4,-0.0754731,0.267399,0.960626
2.55,55.1867,-2.63634,8.7559,4,-0.0754721,0.267899,0.960486
2.56,55.3475,-2.63361,8.76484,4,-0.0754719,0.268382,0.960352
2.57,55.5079,-2.63065,8.77366,4,-0.0754726,0.268846,0.960222
2.58,55.668,-2.62745,8.78234,4,-0.0754739,0.269293,0.960096
2.59,55.8278,-2.62402,8.7909,4,-0.075476,0.269723,0.959976
2.6,55.9873,-2.62034,8.79932,4,-0.0754786,0.270135,0.95986
2.61,56.1465,-2.61643,8.80762,4,-0.0754818,0.270529,0.959748
2.62,56.3053,-2.61228,8.81578,4,-0.0754855,0.270906,0.959641
2.63,56.4638,-2.60789,8.82382,4,-0.0754897,0.271266,0.959539
2.64,56.6221,-2.60327,8.83173,4,-0.0754942,0.271609,0.959442
2.65,56.78,-2.59841,8.8395,4,-0.0754991,0.271935,0.959349
2.66,56.9375,-2.59331,8.84715,4,-0.0755043,0.272243,0.959262
2.67,57.0948,-2.58797,8.85467,4,-0.0755097,0.272535,0.959178
2.68,57.2518,-2.5824,8.86206,4,-0.0755153,0.27281,0.9591
2.69,57.4085,-2.57659,8.86932,4,-0.075521,0.273068,0.959026
2.7,57.5648,-2.57054,8.87645,4,-0.0755267,0.27331,0.958956
2.71,57.7209,-2.56426,8.88345,4,-0.0755325,0.273535,0.958892
2.72,57.8766,-2.55774,8.89032,4,-0.0755382,0.273743,0.958832
2.73,58.032,-2.55098,8.89707,4,-0.0755438,0.273935,0.958777
2.74,58.1872,-2.54399,8.90368,4,-0.0755492,0.274111,0.958726
2.75,58.342,-2.53676,8.91017,4,-0.0755544,0.27427,0.95868
2.76,58.4965,-2.52929,8.91652,4,-0.0755594,0.274414,0.958639
2.77,58.6507,-2.52159,8.92275,4,-0.075564,0.274541,0.958602
2.78,58.8047,-2.51366,8.92885,4,-0.0755683,0.274652,0.95857
2.79,58.9583,-2.50549,8.93482,4,-0.0755721,0.274747,0.958542
2.8,59.1116,-2.49708,8.94067,4,-0.0755754,0.274826,0.958519
2.81,59.2646,-2.48845,8.94638,4,-0.0755782,0.274889,0.958501
2.82,59.4173,-2.47957,8.95197,4,-0.0755803,0.274937,0.958487
2.83,59.5698,-2.47047,8.95743,4,-0.0755819,0.274969,0.958478
2.84,59.7219,-2.46112,8.96276,4,-0.0755827,0.274985,0.958473
2.85,59.8737,-2.45155,8.96796,4,-0.0755827,0.274986,0.958473
2.86,60.0253,-2.44174,8.97304,4,-0.0755819,0.274972,0.958477
2.87,60.1765,-2.43171,8.97799,4,-0.0755803,0.274942,0.958486
2.88,60.3275,-2.42143,8.98282,4,-0.0755777,0.274896,0.958499
2.89,60.4781,-2.41093,8.98751,4,-0.0755741,0.274836,0.958516
2.9,60.6285,-2.4002,8.99208,4,-0.0755696,0.27476,0.958539
2.91,60.7786,-2.38923,8.99653,4,-0.0755639,0.274669,0.958565
2.92,60.9284,-2.37803,9.00085,4,-0.0755571,0.274563,0.958596
